"id","dset","lib","mname","target","columns","insts","model_param","target_iqr","target_diff","target_skewness","binary_factors","factors3to5","big_factors","nonskew_numerics","small_skew_numerics","big_skew_numerics","mse","rmse","mae","r2","metric"
"a73d7c9ccd9e514dcf202f2e1a8dc2e5","openml_liver-disorders","mlr","regr.plsr","drinks",7,345,"regr.plsr kernelpls",5.5,20,0.0909090909090909,1,0,0,4,1,0,9.3438,3.0568,2.3816,0.1266,0.15284
"c99139696cab992a6e8d2e04efd1ad4b","openml_liver-disorders","mlr","regr.svm","drinks",7,345,"regr.svm sigmoid",5.5,20,0.0909090909090909,1,0,0,4,1,0,278.6812,16.6937,7.2435,-26.6424,0.834685
"da9063e7eb39a35e63c281d664fab2a7","openml_liver-disorders","mlr","regr.gausspr","drinks",7,345,"regr.gausspr polydot",5.5,20,0.0909090909090909,1,0,0,4,1,0,9.3396,3.0561,2.3816,0.1273,0.152805
"e598dbfba4dfbb3ca6c25aae43bc0b2f","openml_liver-disorders","mlr","regr.svm","drinks",7,345,"regr.svm polynomial",5.5,20,0.0909090909090909,1,0,0,4,1,0,19.0034,4.3593,2.7331,-1.0394,0.217965
"01817f160006d155cf5f9de7ea4cd2c4","openml_longley","mlr","regr.gausspr","employed",7,16,"regr.gausspr vanilladot",5578,10380,-0.000896378630333453,0,0,0,5,1,0,372632.8794,610.4366,495.5846,0.7682,0.0588089210019268
"68e5280ac3ce94b1cdf06ed053f30919","openml_longley","mlr","regr.plsr","employed",7,16,"regr.plsr simpls",5578,10380,-0.000896378630333453,0,0,0,5,1,0,179571.309,423.7586,356.3814,0.8796,0.040824527938343
"7a48718db50a3f3236f0676581fb9a37","openml_longley","mlr","regr.svm","employed",7,16,"regr.svm radial",5578,10380,-0.000896378630333453,0,0,0,5,1,0,893909.0975,945.4677,768.3783,0.5446,0.0910855202312139
"93e0c35b13ac09c679376487d5037ecf","openml_longley","mlr","regr.plsr","employed",7,16,"regr.plsr oscorespls",5578,10380,-0.000896378630333453,0,0,0,5,1,0,180384.1104,424.7165,356.8566,0.8794,0.0409168111753372
"cd0ef8fc6fc7a48ff792a8c93f9d7921","openml_longley","mlr","regr.svm","employed",7,16,"regr.svm polynomial",5578,10380,-0.000896378630333453,0,0,0,5,1,0,4172811.9113,2042.7462,1778.834,-5.8578,0.196796358381503
"e162f43f2e96f9d90bfd032b5b993560","openml_longley","mlr","regr.gausspr","employed",7,16,"regr.gausspr polydot",5578,10380,-0.000896378630333453,0,0,0,5,1,0,372632.8794,610.4366,495.5846,0.7682,0.0588089210019268
"e91cc97edc3a25f877b6dee023daf301","openml_longley","mlr","regr.plsr","employed",7,16,"regr.plsr kernelpls",5578,10380,-0.000896378630333453,0,0,0,5,1,0,180383.714,424.716,356.8564,0.8794,0.0409167630057804
"ed99195ff055f93df0efc42c11edae08","openml_longley","mlr","regr.svm","employed",7,16,"regr.svm sigmoid",5578,10380,-0.000896378630333453,0,0,0,5,1,0,1512335.6119,1229.7706,924.6816,-2.1604,0.118475009633911
"ee072b13bb59fb27e68a819eca03858b","openml_longley","mlr","regr.gausspr","employed",7,16,"regr.gausspr rbfdot",5578,10380,-0.000896378630333453,0,0,0,5,1,0,2423304.2437,1556.6966,1391.3999,-0.7514,0.149970770712909
"0460807d984ed37b8cdb27f16519f6d3","openml_lowbwt","mlr","regr.svm","class",10,189,"regr.svm polynomial",1061,4281,-0.061262959472196,4,2,1,1,1,0,411598.482,641.5594,511.5059,0.2185,0.14986204157907
"0d4aed1a340952772410f889200de9c1","openml_lowbwt","mlr","regr.plsr","class",10,189,"regr.plsr simpls",1061,4281,-0.061262959472196,4,2,1,1,1,0,226646.4415,476.074,378.5831,0.5546,0.111206260219575
"1185d44e047694e38709329e3e0e8d5a","openml_lowbwt","mlr","regr.gausspr","class",10,189,"regr.gausspr polydot",1061,4281,-0.061262959472196,4,2,1,1,1,0,211670.6775,460.0768,369.0247,0.5864,0.107469469750058
"25ca735fc9b3ed7824676ffc43daae41","openml_lowbwt","mlr","regr.plsr","class",10,189,"regr.plsr oscorespls",1061,4281,-0.061262959472196,4,2,1,1,1,0,4.51814552056585e+33,67217151981959600,23528589204730500,-1.02071467199123e+28,15701273530006.9
